axiom_id	icd_axis_iri	icd_axis_label	ro_relation_iri	ro_relation_label	alignment_type	mapping_justification	cm_reference	rationale
AX-01	http://id.who.int/icd/schema/specificAnatomy	specificAnatomy	http://purl.obolibrary.org/obo/RO_0004026	disease_has_location	EQ	semapv:ManualMappingCuration	CM §3.5	CM defines specificAnatomy as the anatomical site of the disease. RO:0004026 is used identically in Mondo.
AX-02	http://id.who.int/icd/schema/infectiousAgent	infectiousAgent	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	SUB	semapv:ManualMappingCuration	CM §3.6	CM: infectiousAgent is the causal organism. RO:0004019 is broader (any material basis). Subproperty.
AX-03	http://id.who.int/icd/schema/chemicalAgent	chemicalAgent	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	SUB	semapv:ManualMappingCuration	CM §3.6	CM: chemicalAgent parallels infectiousAgent for chemical causes. Also subproperty of has_material_basis_in.
AX-04	http://id.who.int/icd/schema/hasCausingCondition	hasCausingCondition	http://purl.obolibrary.org/obo/RO_0004001	has_material_basis_in_disease	EQ	semapv:ManualMappingCuration	CM §3.7	CM: cause is another disease entity. Maps directly to Mondo disease-to-disease causal relation.
AX-05	http://id.who.int/icd/schema/hasManifestation	hasManifestation	http://purl.obolibrary.org/obo/RO_0002452	has_symptom	SUB	semapv:ManualMappingCuration	CM §3.7	CM: hasManifestation links disease to clinical presentation. RO:0002452 is broader. Subproperty.
AX-06	http://id.who.int/icd/schema/associatedWith	associatedWith	http://purl.obolibrary.org/obo/RO_0002610	correlated_with	SUB	semapv:ManualMappingCuration	CM §3.7	CM: associatedWith is a weak non-causal association. correlated_with is closest RO relation. Subproperty.
AX-07	http://id.who.int/icd/schema/histopathology	histopathology	http://purl.obolibrary.org/obo/RO_0004027	has_quality	SUB	semapv:ManualMappingCuration	CM §3.5	CM: histopathology is morphological qualifier. Mondo uses has_quality with PATO/MPATH. Subproperty (restricted to morphology).
AX-08	http://id.who.int/icd/schema/severity	severity	http://purl.obolibrary.org/obo/RO_0002573	has_severity	EQ	semapv:ManualMappingCuration	CM §3.11	CM: severity scale. RO:0002573 has_severity used in Mondo with PATO values. Direct equivalence.
AX-09	http://id.who.int/icd/schema/laterality	laterality	http://purl.obolibrary.org/obo/PATO_0000614	laterality_qualifier	EQ	semapv:ManualMappingCuration	CM §3.11	CM: laterality (left/right/bilateral). PATO laterality qualifier. Direct equivalence.
AX-10	http://id.who.int/icd/schema/course	course	http://purl.obolibrary.org/obo/RO_0002488	has_duration	SUB	semapv:ManualMappingCuration	CM §3.11	CM: course (acute/chronic/subacute). RO:0002488 is temporal duration; ICD course is narrower. Subproperty.
AX-11	http://id.who.int/icd/schema/temporalPatternAndOnset	temporalPatternAndOnset	http://purl.obolibrary.org/obo/RO_0002488	has_duration	SUB	semapv:ManualMappingCuration	CM §3.11	CM: temporal onset pattern. Overlaps with course via RO:0002488 but focuses on onset timing. Subproperty.
AX-12	http://id.who.int/icd/schema/timeInLife	timeInLife	http://purl.obolibrary.org/obo/RO_0002490	existence_overlaps	SUB	semapv:ManualMappingCuration	CM §3.11	CM: life stage (neonatal, childhood, etc.). Nearest RO relation is temporal overlap with a life stage. Subproperty.
